year,pop,inc100k,prev100k,mort100k,mort100klo,mort100khi
1990,61906,1.9,2.8,3.9,3.5,4.3
1991,62412,0,3.5,0,0,0
1992,63434,11,22,1.8,1.7,1.9
1993,64868,7.3,13,0,0,0
1994,66550,3.6,4.7,1.8,1.6,2
1995,68349,0,4.8,0,0,0
1996,70245,4.9,6.2,0.57,0.5,0.64
1997,72232,6.4,10,1.1,0.99,1.3
1998,74206,6.2,9.9,1.7,1.5,1.9
1999,76041,4.5,5.9,1.5,1.4,1.6
2000,77648,5.9,9.3,1.8,1.5,2.2
2001,78972,1.5,4.3,1.5,1.4,1.7
2002,80030,5.7,9,1.6,1.4,1.8
2003,80904,1.4,4.2,1.5,1.4,1.7
2004,81718,4.9,6.9,1.4,1.3,1.5
2005,82565,8.4,9.4,1.4,1.3,1.4
2006,83467,5.5,3.8,1.4,1.3,1.6
2007,84397,2.7,4.8,1.4,1.3,1.6
2008,85349,1.3,4.8,1.3,1.2,1.3
2009,86300,4,5.4,1.8,1.3,2.3
2010,87233,9.2,5.3,1.4,1.2,1.5
2011,88152,7.8,6.8,1.4,1.2,1.5
2012,89069,3.9,4.8,1.4,1.2,1.5
1990,32624874,60,102,4.2,4.1,4.2
1991,33075194,57,95,3.7,3.7,3.8
1992,33520803,55,89,3.5,3.4,3.5
1993,33961947,53,83,3.6,3.6,3.7
1994,34399343,51,79,3.2,3.1,3.2
1995,34833168,49,74,3.3,3.3,3.4
1996,35264070,47,70,5,4.9,5.1
1997,35690778,45,67,3.1,3,3.2
1998,36109342,44,64,2.7,2.6,2.8
1999,36514558,42,62,2.5,2.4,2.6
2000,36903067,40,59,2.3,2.2,2.3
2001,37273361,39,57,2.2,2.1,2.2
2002,37627545,37,54,2.3,2.2,2.3
2003,37970411,36,51,2.1,2,2.2
2004,38308779,35,49,1.9,1.8,2
2005,38647854,33,48,1.9,1.8,2
2006,38988923,32,46,1.8,1.8,1.9
2007,39331357,31,45,1.7,1.6,1.7
2008,39676083,30,43,1.6,1.5,1.7
2009,40023641,28,42,1.6,1.5,1.7
2010,40374224,27,40,1.3,1.3,1.4
2011,40728738,26,38,1.3,1.3,1.4
2012,41086927,25,36,1.3,1.3,1.4
1990,3544695,18,28,4.4,3.2,5.8
1991,3511912,21,33,4.4,3.3,5.5
1992,3449497,24,38,4.9,3.9,6
1993,3369673,29,44,5,4,6.2
1994,3289943,33,51,5.1,4.1,6.3
1995,3223173,38,59,6,4.9,7.2
1996,3173425,43,67,5.6,4.7,6.5
1997,3137652,49,76,6.6,5.7,7.7
1998,3112958,54,84,6.1,5.3,6.9
1999,3093820,58,89,6.6,5.8,7.5
2000,3076098,61,93,6.3,5.6,7
2001,3059960,65,101,6,5.2,6.8
2002,3047002,69,107,8.6,6.4,11
2003,3036032,73,111,8,5.9,10
2004,3025652,75,114,8.2,6.2,11
