year,pop,inc100k,prev100k,mort100k,mort100klo,mort100khi
2004,22522,10,21,4.6,4.5,4.7
2005,23169,0,2.7,4.6,4.4,4.7
2006,23942,0,2.3,4.5,4.3,4.7
2007,24815,0,1.9,4.2,4.1,4.3
2008,25716,1.4,1.6,3.9,3.9,3.9
2009,26542,2.8,5.5,4.1,3.9,4.4
2010,27223,4.2,9.2,4.1,4,4.3
2011,27730,0,0.97,4.1,4,4.3
2012,28088,0,1,4.1,4,4.3
1990,256929,64,78,3,2.9,3.2
1991,264332,70,93,3,2.9,3.2
1992,271935,76,109,3,2.9,3.2
1993,279652,66,83,3,2.9,3.2
1994,287370,64,77,3,2.9,3.2
1995,295003,63,71,3,2.9,3.2
1996,302511,61,69,2,1.9,2.2
1997,309904,59,72,4.8,4.6,5
1998,317214,76,94,1.2,1.1,1.2
1999,324501,96,143,2.2,2.1,2.3
2000,331801,106,165,4.3,4.2,4.5
2001,339114,73,84,4,3.8,4.1
2002,346407,76,97,3.7,3.6,3.8
2003,353649,68,85,3.4,3.3,3.5
2004,360797,59,76,3.2,3.1,3.3
2005,367815,51,64,2.9,2.8,3
2006,374697,62,82,2.7,2.6,2.8
2007,381440,63,91,2.5,2.4,2.6
2008,388017,66,99,2.5,2.2,2.7
2009,394400,62,86,3.3,3,3.6
2010,400569,68,99,3,2.9,3.2
2011,406512,65,87,3,2.9,3.2
2012,412238,68,90,3,2.9,3.2
1990,8821111,33,48,2.4,2.4,2.5
1991,8745409,41,62,3.2,3.1,3.3
1992,8653532,48,75,3.3,3.2,3.4
1993,8552438,54,86,3.6,3.4,3.7
1994,8451634,59,95,7.1,7,7.3
1995,8358116,62,101,4.1,4,4.2
1996,8274592,63,102,4.3,4.2,4.3
1997,8199715,62,97,5.7,5.6,5.9
1998,8131424,60,94,4.6,4.5,4.7
1999,8065947,59,91,3.8,3.7,3.9
2000,8000510,58,88,7.3,7.2,7.5
2001,7934973,58,88,3.7,3.6,3.8
2002,7870488,58,90,3.7,3.6,3.8
2003,7806995,57,90,3.7,3.6,3.8
2004,7744575,56,86,3.6,3.5,3.7
2005,7683264,53,81,3.4,3.4,3.5
2006,7622852,50,76,3.3,3.3,3.4
2007,7563141,48,70,3.5,3.5,3.6
2008,7504206,44,64,3,3,3.1
2009,7446197,41,58,2.5,2.5,2.6
2010,7389175,38,53,2.6,2.5,2.6
2011,7333122,35,48,2.2,2.2,2.2
2012,7277831,32,43,2,2,2.1
1990,8811033,87,132,14,5.3,26
1991,9050090,87,130,14,5.3,27
1992,9297116,87,128,14,5.4,27
1993,9552473,86,126,14,5.4,27
1994,9816586,84,124,14,5.4,26
1995,10089876,82,121,14,5.3,26
1996,10372562,79,118,13,5.2,25
1997,10664982,78,115,13,5.2,25
1998,10967836,75,112,13,5.1,24
1999,11281942,73,110,13,5,24
2000,11607944,71,108,13,5,24
2001,11946080,69,107,12,4.9,23
2002,12296399,67,104,12,4.8,22
2003,12659086,65,101,12,4.7,22
2004,13034258,64,99,11,4.6,21
2005,13421929,62,97,11,4.5,20
2006,13822257,66,105,11,4.5,20
2007,14235075,62,97,10,4.4,19
2008,14659646,61,96,10,4.3,18
2009,15094967,59,93,9.7,4.2,17
2010,15540284,58,89,9.2,4,16
2011,15995313,57,88,8.8,3.9,16
2012,16460141,54,82,8.5,3.7,15
1990,5605873,162,263,23,10,40
1991,5749774,189,314,29,12,52
1992,5882679,222,372,35,14,64
1993,6003704,259,431,40,16,75
1994,6112449,293,477,45,18,84
1995,6209923,321,510,48,19,90
1996,6294482,337,520,49,19,92
1997,6369573,337,505,48,19,90
1998,6447672,327,478,46,18,86
1999,6545273,308,442,43,17,79
2000,6674286,288,408,40,16,73
2001,6839376,266,373,37,15,67
2002,7037727,244,342,34,14,62
2003,7264340,228,323,32,14,58
2004,7510771,211,303,30,13,54
2005,7770392,198,289,28,12,51
2006,8042579,183,268,26,11,46
2007,8328312,171,253,24,11,43
2008,8624280,159,237,22,10,39
2009,8926687,150,226,21,9.4,36
2010,9232753,144,219,20,9.1,35
2011,9540362,139,214,19,8.8,33
2012,9849569,130,199,18,8,32
1990,351960,175,340,37,9.8,81
1991,359642,174,337,36,11,78
1992,368873,172,334,36,11,75
1993,379100,171,332,36,12,72
1994,389504,169,329,36,13,70
1995,399477,168,326,36,14,68
1996,408790,166,325,36,14,68
1997,417562,165,324,36,14,68
1998,425932,163,323,36,13,68
1999,434168,162,318,35,13,67
2000,442426,160,311,34,13,65
2001,450812,159,306,33,13,64
2002,459140,157,301,33,13,63
2003,466939,156,298,32,12,61
2004,473577,155,293,32,12,60
2005,478651,153,288,31,12,59
2006,481940,152,283,30,12,57
2007,483713,151,278,29,11,56
2008,484651,149,272,28,11,54
2009,485714,148,264,27,11,51
2010,487601,147,257,26,11,49
2011,490556,145,248,25,10,46
2012,494401,144,237,23,9.5,42
1990,9057339,580,1667,157,54,314
1991,9378185,579,1667,153,53,305
1992,9721775,579,1667,149,52,296
1993,10077404,579,1667,146,51,288
1994,10430268,578,1667,142,50,281
1995,10769198,578,1667,139,49,274
1996,11090611,578,1667,137,49,269
1997,11395958,577,1667,135,49,265
1998,11685332,577,1667,134,48,262
1999,11960467,577,1651,131,47,257
2000,12222871,577,1619,128,47,251
2001,12472586,571,1571,124,45,241
2002,12709336,560,1511,117,43,227
2003,12934369,543,1411,109,41,208
2004,13149386,526,1318,101,40,190
2005,13356424,510,1231,94,38,175
2006,13555054,494,1150,88,37,161
2007,13747288,479,1074,83,36,149
2008,13940518,465,1003,77,34,138
2009,14144225,451,937,72,33,128
2010,14364931,437,875,68,31,120
2011,14605862,424,817,65,30,114
2012,14864646,411,764,63,29,110
1990,12070359,112,195,19,8.1,34
1991,12430339,123,229,23,9.6,42
1992,12796831,137,268,27,11,51
1993,13169247,157,311,32,13,60
1994,13546948,181,360,37,14,71
1995,13929575,206,404,42,16,80
1996,14316949,231,441,45,17,87
1997,14709426,255,471,48,18,93
1998,15107909,277,493,50,19,97
1999,15513653,296,505,51,19,98
2000,15927713,310,504,51,19,98
2001,16350440,317,496,49,19,95
2002,16782044,320,480,47,18,90
2003,17223277,319,460,45,18,85
2004,17674960,317,441,43,17,80
2005,18137734,312,432,40,16,75
2006,18611937,306,415,38,16,70
2007,19097676,297,395,36,15,66
2008,19595026,273,361,33,14,60
2009,20103945,268,354,32,14,58
2010,20624343,274,366,32,14,58
2011,21156272,243,320,30,13,54
2012,21699631,238,319,29,12,54
1990,27657790,8.3,11,0.42,0.41,0.44
1991,28009467,8.3,11,0.48,0.47,0.49
1992,28349228,8.6,12,0.41,0.41,0.41
1993,28676325,8.1,11,0.41,0.41,0.41
1994,28991240,8.2,11,0.41,0.41,0.41
1995,29294899,7.7,10,0.4,0.4,0.4
1996,29586368,7.3,9.3,0.4,0.39,0.4
1997,29866502,7.7,11,0.39,0.39,0.4
1998,30140562,6.9,9.1,0.47,0.46,0.47
1999,30415664,6.9,9.3,0.35,0.34,0.35
2000,30697425,6.5,8.5,0.27,0.26,0.27
2001,30986788,6.6,9,0.35,0.35,0.35
2002,31283746,6.1,8.2,0.33,0.32,0.33
2003,31591631,5.9,7.9,0.29,0.29,0.3
2004,31914080,5.6,7.2,0.22,0.22,0.22
2005,32253092,5.5,7.3,0.27,0.27,0.27
2006,32610984,5.4,7.2,0.28,0.27,0.28
2007,32985806,5.3,7,0.28,0.28,0.28
2008,33369898,5.4,7.3,0.27,0.27,0.28
2009,33752618,5.3,7.4,0.18,0.18,0.18
2010,34126240,4.6,5.7,0.22,0.22,0.22
2011,34487414,4.8,6.3,0.21,0.2,0.21
2012,34837978,4.6,6.1,0.19,0.19,0.19
1990,25009,9.2,12,4,4,4.1
1991,26211,13,20,0,0,0
1992,27402,13,20,0,0,0
1993,28652,8,9.9,0,0,0
1994,30055,7.6,10,0,0,0
1995,31672,7.3,10,0,0,0
1996,33535,0,5.8,0,0,0
1997,35596,0,5.5,0,0,0
1998,37742,9.1,16,0,0,0
1999,39810,5.8,8.2,0,0,0
2000,41685,14,28,0,0,0
2001,43317,2.7,4.5,0,0,0
2002,44742,0,3.4,0,0,0
2003,46032,0,1.8,0,0,0
2004,47299,2.4,5,0,0,0
2005,48623,1.2,2.2,0,0,0
2006,50026,0,0.85,0,0,0
2007,51472,2.2,3.7,0,0,0
2008,52912,2.2,2.4,0,0,0
2009,54275,4.2,6.3,0,0,0
2010,55509,8.3,15,0,0,0
2011,56601,4.1,8,0,0,0
2012,57570,12,18,0,0,0
1990,2912824,861,1363,122,45,236
1991,2979588,932,1422,129,47,251
1992,3050789,1011,1497,136,50,266
1993,3125144,1086,1577,144,53,281
1994,3200633,1149,1638,151,55,293
1995,3275695,1198,1683,156,57,303
1996,3350299,1227,1709,159,58,309
1997,3424733,1222,1690,158,58,307
1998,3498140,1194,1652,155,57,301
1999,3569523,1139,1579,149,55,290
2000,3638316,1071,1495,143,53,277
2001,3704045,993,1398,135,50,262
2002,3767248,914,1301,127,47,247
2003,3829636,838,1204,119,44,231
2004,3893595,762,1107,109,41,211
2005,3960897,690,1003,99,37,190
2006,4032102,623,913,89,34,171
2007,4106897,561,823,80,31,152
2008,4185106,511,756,72,28,136
2009,4266247,469,702,65,26,122
2010,4349921,433,637,59,24,110
2011,4436217,400,579,54,22,99
2012,4525209,367,520,50,19,95
1990,5951574,95,157,14,6.2,26
1991,6142558,101,175,16,6.8,29
1992,6338934,108,187,18,7.4,33
1993,6542419,115,206,19,7.9,36
1994,6755540,122,217,21,8.3,39
1995,6980351,128,228,22,8.8,41
1996,7216321,135,237,23,9.1,43
1997,7463347,140,244,23,9.3,44
1998,7724316,144,249,24,9.5,45
1999,8002899,148,252,24,9.6,45
2000,8301151,151,252,24,9.7,45
2001,8620917,153,252,24,9.7,44
2002,8959964,154,252,24,9.7,44
2003,9311234,153,251,23,9.6,44
2004,9665024,151,246,23,9.4,42
2005,10014413,150,243,23,9.4,42
2006,10356822,150,243,23,9.4,42
2007,10694366,151,243,22,9.3,41
2008,11030628,151,241,22,9.1,39
2009,11371325,151,242,21,8.9,38
2010,11720781,151,237,20,8.5,35
2011,12080037,151,229,18,8,33
2012,12448175,151,221,18,7.9,33
1990,13213930,54,76,5.8,5.3,6.2
1991,13456476,47,64,4,3.7,4.2
1992,13706485,45,62,4.1,3.8,4.4
1993,13958378,38,50,3.8,3.6,4
1994,14204726,34,42,3.2,3,3.4
1995,14440103,33,44,3.5,3.2,3.7
1996,14662323,33,47,3.4,3.2,3.6
1997,14872458,30,42,2.9,2.7,3.1
1998,15072409,28,39,2.6,2.5,2.7
1999,15265536,26,36,2.5,2.4,2.6
2000,15454402,22,30,1.9,1.8,2
2001,15639289,22,31,2.2,2.1,2.3
2002,15819522,18,22,2.1,2,2.2
2003,15995658,16,19,1.9,1.9,2
2004,16168241,19,27,1.8,1.7,1.8
2005,16337749,18,25,1.5,1.4,1.5
2006,16504530,18,25,1.7,1.7,1.7
2007,16668892,17,23,1.5,1.5,1.6
2008,16831184,17,23,1.4,1.3,1.4
2009,16991729,16,22,1.4,1.4,1.5
2010,17150760,16,21,1.3,1.3,1.4
2011,17308449,16,22,1.3,1.3,1.3
2012,17464814,16,21,1.2,1.2,1.2
1990,1165428967,153,215,19,17,21
1991,1183008409,148,212,18,15,20
1992,1198875063,143,208,17,14,19
1993,1213103674,138,204,15,13,18
1994,1225921585,133,200,14,12,17
1995,1237531429,129,195,13,11,16
1996,1247897092,125,191,12,10,15
1997,1257021784,120,186,12,9,14
1998,1265222536,116,181,11,8,13
1999,1272915272,113,176,9.6,6.9,13
2000,1280428583,109,170,8.7,6.5,11
2001,1287890449,105,165,7.9,6.3,9.8
2002,1295322020,102,159,7.3,6.1,8.6
2003,1302810258,98,153,6.7,6,7.4
2004,1310414386,95,146,6.1,6,6.3
2005,1318176835,92,140,5.7,5.5,5.9
2006,1326146433,89,133,5.2,5.1,5.4
2007,1334343509,86,126,4.8,4.7,5
2008,1342732604,83,119,4.5,4.3,4.6
2009,1351247555,80,112,4.1,4,4.3
2010,1359821465,78,108,3.8,3.7,3.9
2011,1368440300,75,104,3.5,3.4,3.6
2012,1377064907,73,99,3.2,3.1,3.3
1990,5794034,129,169,6.3,6.2,6.4
1991,5855870,123,155,6.7,6.6,6.8
1992,5911054,127,165,6.3,6.3,6.4
1993,5969419,126,163,11,11,11
1994,6044449,120,150,6.1,6.1,6.2
1995,6144498,116,142,6.2,6.1,6.2
1996,6275363,119,151,4.6,4.6,4.6
1997,6430651,126,172,3.9,3.9,4
1998,6591717,134,193,4.1,4.1,4.1
1999,6732627,96,108,4.4,4.4,4.4
2000,6835301,101,120,4,4,4
2001,6892752,113,154,3.7,3.7,3.7
2002,6912079,104,136,3.3,3.3,3.4
2003,6906631,98,135,3.3,3.3,3.4
2004,6896523,95,128,3.7,3.7,3.7
2005,6896686,94,130,3.5,3.5,3.6
2006,6910671,92,127,3.9,3.8,3.9
2007,6934748,89,122,3.2,3.2,3.3
2008,6967866,92,132,3.2,3.2,3.2
2009,7006930,85,117,2.9,2.9,2.9
2010,7049514,81,110,2.6,2.6,2.7
2011,7096359,77,103,2.6,2.6,2.7
2012,7148493,77,108,2.6,2.6,2.7
1990,359735,110,167,10,5.1,17
1991,369484,102,137,8.5,3.8,15
1992,377799,89,101,7.4,2.8,14
1993,385041,85,109,6.5,2.1,13
1994,391783,99,115,5.9,1.7,13
1995,398459,116,137,5.4,1.3,12
1996,405231,162,245,5.2,1.1,12
1997,412031,160,235,5.1,1.1,12
1998,418810,128,151,5,0.98,12
1999,425448,124,147,4.8,0.85,12
2000,431907,120,151,4.6,0.74,12
2001,438080,122,168,4.4,0.61,12
2002,444150,100,122,4.1,0.48,12
2003,450711,96,127,3.9,0.37,11
2004,458542,85,103,3.6,0.26,11
2005,468149,98,141,3.3,0.16,11
2006,479808,99,147,3.1,0.11,11
2007,493206,89,126,3,0.08,11
2008,507528,89,129,2.9,0.06,11
2009,521617,76,95,2.8,0.18,8.9
2010,534626,85,119,2.8,0.05,11
2011,546278,80,108,2.8,0.05,11
2012,556783,83,117,2.8,0.05,11
1990,33306941,54,85,5,4.2,5.9
1991,33957286,52,86,4.7,4.1,5.4
1992,34608171,51,86,4.7,3.9,5.5
1993,35260456,50,86,5,4.2,5.9
1994,35915434,49,85,4.4,3.7,5.1
1995,36573895,48,83,5.3,4.8,5.9
1996,37236124,47,81,4.1,3.6,4.6
1997,37901358,46,78,3.4,3.1,3.8
1998,38568056,45,76,3.8,3.5,4.1
1999,39234115,44,72,3.9,3.7,4.1
2000,39897984,43,68,3.2,3,3.4
2001,40558648,42,65,3.3,3.2,3.5
2002,41216304,41,64,3.3,3.2,3.4
2003,41872051,40,62,3.2,3,3.3
2004,42527623,39,60,3.1,2.9,3.3
2005,43184026,38,58,2.4,2.3,2.4
2006,43841370,38,57,2.3,2.3,2.3
2007,44498390,37,56,2.5,2.5,2.5
2008,45153037,36,54,2.4,2.4,2.4
2009,45802561,35,52,2.2,2.2,2.3
2010,46444798,34,51,1.9,1.9,2
2011,47078792,34,49,1.8,1.8,1.8
2012,47704427,33,48,1.6,1.6,1.6
1990,412790,54,93,10,4.4,19
1991,422969,52,89,9.9,4.3,18
1992,433286,50,85,9.4,4.1,17
1993,443820,49,82,9.1,3.9,16
1994,454665,47,79,8.7,3.8,16
1995,465895,46,75,8.3,3.6,15
1996,477548,44,72,7.8,3.4,14
1997,489627,43,68,7.3,3.2,13
1998,502128,41,65,6.9,3,12
1999,515028,40,64,6.9,3,12
2000,528312,39,64,6.9,3,12
2001,541976,38,65,7.1,3.1,13
2002,556028,37,65,7.4,3.2,13
2003,570491,37,66,7.6,3.2,14
2004,585389,36,66,7.6,3.2,14
2005,600733,36,67,7.6,3.2,14
2006,616526,36,65,7.5,3.1,14
2007,632736,35,62,7.2,3.1,13
2008,649291,34,65,7,3,13
2009,666097,33,63,6.7,2.9,12
2010,683081,33,62,6.6,2.8,12
2011,700216,34,64,6.5,2.8,12
2012,717503,34,62,6.3,2.6,12
1990,2383283,169,323,29,9.4,61
1991,2447020,188,332,30,10,61
1992,2511819,200,333,30,11,58
1993,2578424,215,337,30,11,57
1994,2647817,229,342,30,12,56
1995,2720633,245,352,31,13,56
1996,2797572,258,358,30,13,55
1997,2878333,277,374,31,13,56
1998,2961357,299,398,32,14,58
1999,3044444,324,423,33,14,60
2000,3126204,353,455,36,16,63
2001,3205636,382,495,39,17,70
2002,3283719,408,537,42,18,76
2003,3363418,425,572,45,19,80
2004,3448868,430,584,46,20,84
2005,3542867,425,580,47,21,85
2006,3646653,414,576,47,20,84
2007,3758858,403,561,45,20,81
2008,3876475,399,559,45,20,81
2009,3995146,395,560,45,19,81
2010,4111715,391,557,44,19,80
2011,4225359,387,548,44,19,78
2012,4337051,381,530,42,18,77
1990,17613,0,12,0.79,0.73,0.85
1991,17730,6.5,14,0.96,0.69,1.3
1992,17909,39,76,8.7,3.6,16
1993,18103,32,58,6.4,2.8,11
1994,18250,25,41,4.3,2,7.4
1995,18305,13,17,1.1,0.63,1.7
1996,18244,6.3,15,0.99,0.72,1.3
1997,18093,13,17,1.5,0.81,2.5
1998,17915,0,8.7,0.59,0.53,0.65
1999,17806,19,39,4.5,1.8,8.3
2000,17826,6.5,7.6,0.51,0.26,0.84
2001,18003,13,23,2.4,1.1,4.3
2002,18308,6.3,7.2,0.51,0.27,0.84
2003,18690,0,6,0.4,0.35,0.46
2004,19072,6,8,0.68,0.36,1.1
2005,19399,5.9,7.5,0.62,0.34,0.98
2006,19656,5.9,6.9,0.51,0.27,0.83
2007,19858,8.7,14,1.4,0.66,2.4
2008,20016,11,21,2.3,1,4.1
2009,20153,11,21,2.3,0.99,4.1
2010,20284,0,6,0.4,0.34,0.46
2011,20409,5.6,7.4,0.53,0.02,1.9
2012,20523,5.6,7.2,0.6,0.33,0.97
1990,3078551,48,118,2.5,2.3,2.7
1991,3155979,47,111,5.1,4.7,5.5
1992,3233568,46,105,5.6,5.3,5.9
1993,3312307,45,99,4.2,4,4.4
1994,3393575,44,92,4.4,4.2,4.6
1995,3478197,43,87,3.1,3,3.2
1996,3566605,41,80,2.5,2.4,2.6
1997,3658020,40,74,2.3,2.3,2.4
1998,3750585,38,68,2.4,2.3,2.5
1999,3841734,36,65,2.4,2.3,2.5
2000,3929588,35,63,1.8,1.7,1.8
2001,4013488,33,60,2,1.9,2
2002,4093840,30,55,1.8,1.7,1.9
2003,4171145,28,50,1.7,1.6,1.7
2004,4246336,25,45,1.6,1.6,1.6
2005,4320130,23,40,1.4,1.3,1.4
2006,4392493,21,36,1.2,1.2,1.3
2007,4463226,19,32,0.82,0.76,0.87
2008,4532711,17,28,1.2,1.1,1.3
2009,4601424,16,24,1,0.92,1.1
2010,4669685,14,20,0.92,0.82,1
2011,4737680,12,16,0.85,0.76,0.95
2012,4805295,11,12,0.8,0.7,0.89
1990,12115806,238,394,40,16,74
1991,12530078,271,435,44,17,83
1992,12950995,307,480,49,19,92
1993,13375363,335,509,53,21,99
1994,13798862,361,536,56,22,105
1995,14217430,379,551,58,23,109
1996,14632391,390,559,59,23,112
1997,15042149,394,555,60,23,112
1998,15436470,390,546,59,23,111
1999,15802248,381,532,58,23,108
2000,16131332,369,513,56,22,105
2001,16420173,351,487,53,21,99
2002,16674987,329,455,49,20,91
2003,16909801,308,424,46,19,84
2004,17144325,287,394,42,17,77
2005,17393994,267,366,38,16,69
2006,17662417,249,343,35,15,62
2007,17949061,234,321,32,14,57
2008,18260044,217,297,29,13,51
2009,18601342,212,294,27,12,48
2010,18976588,190,258,25,11,43
2011,19389954,191,262,24,11,43
2012,19839750,172,228,22,9.1,41
1990,4793521,62,92,8.2,8,8.5
1991,4799066,52,66,6.5,6.3,6.6
1992,4787634,53,69,5.8,5.7,6
1993,4762425,55,76,6.2,6,6.4
1994,4728549,54,74,7.1,6.7,7.6
1995,4690192,52,70,5.4,5,5.7
1996,4647843,54,77,5.7,5.2,6.1
1997,4601596,51,72,4.7,4.4,4.9
1998,4554877,53,80,4.5,4.3,4.7
1999,4511766,45,61,5,4.9,5.2
2000,4475201,42,57,4.2,4,4.4
2001,4446789,36,44,3.4,3.3,3.5
2002,4426098,37,53,4.1,4.1,4.2
2003,4411370,36,53,3.7,3.6,3.7
2004,4399706,31,42,3.6,3.5,3.6
2005,4388857,28,36,2.5,2.5,2.5
2006,4378601,27,37,3.2,3.2,3.3
2007,4369337,25,35,2.3,2.3,2.3
2008,4360126,26,39,2.4,2.3,2.4
2009,4349930,22,32,2.8,2.8,2.8
2010,4338027,18,24,1.9,1.9,1.9
2011,4323822,16,22,1.5,1.5,1.5
2012,4307422,14,20,1.4,1.4,1.4
1990,10600841,25,60,0.58,0.55,0.62
1991,10684831,23,53,0.49,0.48,0.5
1992,10757891,22,46,0.63,0.62,0.65
1993,10821551,21,41,0.83,0.82,0.84
1994,10878823,20,36,1,1,1
1995,10932013,19,32,0.88,0.87,0.89
1996,10980758,18,28,0.86,0.85,0.86
1997,11024249,16,25,0.76,0.75,0.77
1998,11063917,15,22,0.78,0.77,0.79
1999,11101580,14,21,0.71,0.7,0.71
2000,11138416,13,19,0.41,0.4,0.42
2001,11175465,12,18,0.3,0.29,0.3
2002,11212125,11,17,0.32,0.31,0.33
2003,11245926,10,16,0.36,0.35,0.37
2004,11273363,9.6,15,0.34,0.34,0.35
2005,11292078,9.2,14,0.3,0.3,0.3
2006,11301100,9.1,14,0.28,0.28,0.28
2007,11301674,9,14,0.22,0.21,0.22
2008,11296355,9.1,14,0.32,0.31,0.32
2009,11288826,9.1,14,0.23,0.23,0.23
2010,11281768,9.3,14,0.35,0.35,0.35
2011,11276053,9.3,14,0.33,0.33,0.34
2012,11270957,9.3,14,0.33,0.33,0.34
2010,147560,3.9,5,0.19,0.01,0.63
2011,151523,0.76,0.97,0.04,0,0.19
2012,155293,0.74,0.95,0.04,0,0.18
1990,766611,4.4,5,0.2,0.16,0.25
1991,783138,6.3,9.4,0.2,0.16,0.25
1992,800660,5.6,7.6,0.2,0.16,0.25
1993,818814,5.2,6.6,0.2,0.16,0.25
1994,837166,5.1,6.3,0.2,0.16,0.25
1995,855389,4.8,5.8,0.2,0.16,0.25
1996,873246,3.2,4.8,0.2,0.16,0.25
1997,890733,6.1,9.1,0.2,0.16,0.25
1998,908040,5.7,8.4,0.2,0.16,0.25
1999,925491,4.8,6.5,0.5,0.23,0.85
2000,943287,4,4.8,0,0,0
2001,961481,4.8,7,0.09,0.08,0.11
2002,979877,2.3,3.7,0.19,0.16,0.21
2003,998142,4,5.7,0.28,0.25,0.32
2004,1015820,3.4,4.2,0.37,0.33,0.43
2005,1032586,3.8,4.9,0.37,0.32,0.41
2006,1048314,3.9,4.9,0.12,0.1,0.13
2007,1063095,4.4,6.2,0.12,0.1,0.14
2008,1077089,5.1,7.1,0.11,0.1,0.13
2009,1090553,5.7,8.2,0.12,0.1,0.13
2010,1103685,6.4,9.4,0.11,0.1,0.13
2011,1116513,5.3,6.2,0.21,0.19,0.23
2012,1128994,5.4,6.1,0.2,0.16,0.25
1990,10325976,22,30,1.8,1.8,1.8
1991,10329999,23,33,1.7,1.7,1.7
1992,10336249,22,31,2.6,2.6,2.7
1993,10342095,21,27,1.2,1.2,1.2
1994,10343892,22,30,1.3,1.2,1.3
1995,10339223,20,27,0.89,0.88,0.89
1996,10327823,22,32,0.97,0.97,0.98
1997,10311228,20,29,0.94,0.93,0.95
1998,10291153,20,29,1.2,1.2,1.3
1999,10270096,18,25,1.2,1.2,1.2
2000,10250398,16,21,1.2,1.2,1.2
2001,10231435,15,20,0.9,0.9,0.91
2002,10214070,13,17,0.8,0.8,0.8
2003,10203846,13,18,0.79,0.78,0.79
2004,10207862,12,16,0.67,0.67,0.67
2005,10230683,11,15,0.63,0.63,0.63
2006,10274906,11,15,0.56,0.56,0.56
2007,10337782,8.8,12,0.64,0.63,0.64
2008,10411836,8.9,13,0.49,0.48,0.49
2009,10486434,7.7,11,0.46,0.45,0.46
2010,10553701,6.8,9.4,0.33,0.33,0.34
2011,10611037,6.2,8.5,0.48,0.47,0.48
2012,10660051,5.3,7.2,0.35,0.35,0.35
1990,20194361,383,479,23,21,25
1991,20510215,383,479,23,21,25
1992,20838090,383,479,22,21,23
1993,21166238,383,479,37,36,39
1994,21478552,383,479,21,20,23
1995,21763678,383,479,21,19,23
1996,22016518,383,479,19,17,21
1997,22240833,383,479,19,17,21
1998,22444993,383,479,18,17,20
1999,22641754,383,479,18,16,19
2000,22840225,383,479,17,16,19
2001,23043449,383,479,16,15,17
2002,23248059,383,479,16,15,17
2003,23449180,383,479,16,15,17
2004,23639303,383,479,14,13,15
2005,23813333,383,479,12,12,13
2006,23969917,383,479,12,11,13
2007,24111989,383,479,10,9.7,11
2008,24243894,387,484,10,9.6,11
2009,24371865,391,489,10,9.5,11
2010,24500520,395,494,10,9.5,11
2011,24631291,404,505,10,9.6,11
2012,24763188,409,511,9,8.6,9.5
1990,34910591,327,695,74,28,140
1991,36253025,327,687,72,28,137
1992,37731020,327,680,71,28,134
1993,39257294,327,668,69,27,131
1994,40711816,327,662,68,27,128
1995,42012524,327,654,67,27,126
1996,43122601,327,645,66,26,123
1997,44078397,327,640,65,26,121
1998,44960941,327,631,64,26,118
1999,45889100,327,622,62,26,115
2000,46949244,327,611,61,25,112
2001,48167045,327,601,59,25,109
2002,49516960,327,589,58,24,105
2003,50972323,327,580,56,24,102
2004,52487293,327,565,55,24,99
2005,54028003,327,558,54,24,97
2006,55590838,327,553,53,23,96
2007,57187942,327,551,53,23,95
2008,58819038,327,549,58,26,104
2009,60486276,327,559,53,24,94
2010,62191161,327,555,54,24,96
2011,63931512,327,568,54,24,97
2012,65705093,327,576,54,24,97
1990,5140332,7.8,12,1.1,1,1.1
1991,5154309,7.5,9.7,0.78,0.76,0.8
1992,5171304,8,10,1.1,1.1,1.2
1993,5190631,9.1,12,0.95,0.92,0.98
1994,5211321,11,16,0.61,0.59,0.64
1995,5232582,9.8,12,0.47,0.45,0.48
1996,5254383,11,13,0.84,0.79,0.89
1997,5276683,12,17,0.55,0.53,0.57
1998,5298680,11,15,0.46,0.44,0.47
1999,5319410,13,19,0.42,0.41,0.44
2000,5338283,13,19,0.38,0.38,0.39
2001,5354684,11,15,0.44,0.43,0.45
2002,5368994,8.6,10,0.6,0.58,0.61
2003,5382853,8.4,11,0.33,0.32,0.34
2004,5398558,7.6,9.7,0.62,0.61,0.64
2005,5417692,8.4,12,0.36,0.35,0.36
2006,5440923,7.2,9.8,0.28,0.27,0.29
2007,5467551,7.5,11,0.49,0.47,0.51
2008,5496104,6.9,9.4,0.31,0.3,0.32
2009,5524427,7,9.6,0.51,0.48,0.53
2010,5550959,6.5,8.3,0.63,0.61,0.66
2011,5575237,7.4,10,0.3,0.28,0.32
2012,5597760,7.4,10,0.4,0.38,0.42
1990,589924,619,1048,99,24,226
1991,612589,619,983,89,30,180
1992,629373,619,927,80,26,162
1993,641900,619,881,72,32,127
1994,652793,619,836,65,28,118
1995,663999,619,809,60,23,114
1996,675891,619,783,56,23,104
1997,687897,619,767,54,27,90
1998,699922,619,758,53,24,94
1999,711652,619,759,54,27,90
2000,722887,619,775,57,25,102
2001,733732,619,796,61,29,105
2002,744434,619,829,67,26,127
2003,755085,619,874,75,30,142
2004,765776,619,910,81,32,153
2005,776585,619,920,83,33,156
2006,787544,619,927,84,34,157
2007,798690,619,901,84,34,157
2008,810100,619,935,84,34,156
2009,821865,620,929,83,34,153
2010,834036,620,922,82,34,149
2011,846646,620,911,79,34,144
2012,859652,620,897,76,33,139
1990,70928,15,17,7.6,7.3,7.9
1991,70849,15,16,2.7,2.5,2.9
1992,70978,15,17,6,5.7,6.3
1993,71205,14,17,6.2,5.8,6.5
