year,e_pop_num,e_prev_100k,e_inc_100k,
1993,1008242,365,196,
1994,1036580,369,200,
1995,1065746,372,204,
1996,1095930,374,208,
1997,1126986,373,212,
1998,1159271,374,217,
1999,1193143,374,221,
2000,1228863,373,225,
2001,1266691,375,230,
2002,1306667,380,234,
2003,1348548,387,239,
2004,1391934,395,244,
2005,1436549,404,248,
2006,1482324,415,253,
2007,1529406,424,258,
2008,1577984,433,263,
2009,1628332,444,269,
2010,1680640,455,273,
2011,1734966,472,279,
2012,1791225,490,284,
1990,5460309,704,280,
1991,5418449,667,273,
1992,5345625,636,268,
1993,5252851,609,266,
1994,5156080,589,264,
1995,5067143,571,263,
1996,4990097,557,263,
1997,4922489,546,264,
1998,4861848,533,263,
1999,4803312,526,261,
2000,4743591,516,256,
2001,4682290,487,244,
2002,4621837,448,227,
2003,4564938,410,210,
2004,4515280,366,193,
2005,4475306,315,175,
2006,4446032,274,160,
2007,4426077,242,149,
2008,4412502,217,139,
2009,4401093,198,132,
2010,4388674,186,128,
2011,4374226,182,125,
2012,4358242,158,116,
1990,80487159,29,21,
1991,81026476,25,19,
1992,81625161,28,20,
1993,82225174,29,20,
1994,82750431,25,18,
1995,83147770,23,17,
1996,83388930,22,16,
1997,83490697,21,15,
1998,83500716,20,14,
1999,83490881,20,14,
2000,83512459,18,12,
2001,83583461,12,9.6,
2002,83685160,13,9.5,
2003,83788480,14,9.6,
2004,83848844,12,8.5,
2005,83835978,11,7.8,
2006,83740302,9.8,7.1,
2007,83578794,8.7,6.4,
2008,83379538,7.3,5.7,
2009,83182774,8.3,5.9,
2010,83017404,7.7,5.6,
2011,82892904,7.9,5.7,
2012,82800121,7.8,5.6,
1990,14628693,320,155,
1991,15043053,318,159,
1992,15471695,315,163,
1993,15907265,311,165,
1994,16339278,307,166,
1995,16760926,301,167,
1996,17169151,296,167,
1997,17568461,290,166,
1998,17968830,281,162,
1999,18384302,270,158,
2000,18825034,257,152,
2001,19293392,241,145,
2002,19786307,225,138,
2003,20301686,213,132,
2004,20835514,200,125,
2005,21384034,188,119,
2006,21947779,174,112,
2007,22525659,161,106,
2008,23110139,147,99,
2009,23691533,134,92,
2010,24262901,121,86,
2011,24820706,106,79,
2012,25366462,92,72,
1990,10160501,15,9.9,
1991,10246749,11,8.6,
1992,10349998,14,10,
1993,10462357,14,10,
1994,10572479,14,10,
1995,10671809,14,10,
1996,10758368,14,10,
1997,10833632,10,8.1,
1998,10896763,20,12,
1999,10947724,15,9.8,
2000,10986883,9.5,7.4,
2001,11012931,7.5,5.3,
2002,11026358,7.2,5.9,
2003,11031728,8,6.2,
2004,11035302,12,7.6,
2005,11041642,11,7.2,
2006,11052514,9.1,6.4,
2007,11066884,9.1,6.4,
2008,11083063,8.7,6.1,
2009,11098149,9,6.1,
2010,11109999,5.6,4.6,
2011,11118556,6.3,4.7,
2012,11124639,6.3,4.5,
1990,55603,245,191,
1991,55786,245,191,
1992,55854,245,191,
1993,55845,245,191,
1994,55817,245,191,
1995,55809,245,191,
1996,55832,245,191,
1997,55876,246,191,
1998,55948,245,191,
1999,56049,245,191,
2000,56174,245,191,
2001,56337,244,191,
2002,56534,244,191,
2003,56732,245,191,
2004,56881,245,191,
2005,56953,247,191,
2006,56925,247,191,
2007,56817,248,191,
2008,56675,247,191,
2009,56569,182,128,
2010,56546,345,232,
2011,56626,346,234,
2012,56787,190,170,
1990,96286,11,4.6,
1991,96455,10,4.6,
1992,97201,9.4,4.6,
1993,98302,8.9,4.6,
1994,99403,8.5,4.5,
1995,100253,8.2,4.5,
1996,100796,8.1,4.5,
1997,101125,8.1,4.4,
1998,101302,8.2,4.4,
1999,101441,8.4,4.4,
2000,101620,8.6,4.4,
2001,101849,8.8,4.3,
2002,102099,8.9,4.3,
2003,102369,8.9,4.3,
2004,102655,8.7,4.3,
2005,102951,8.1,4.2,
2006,103260,7.7,4.2,
2007,103586,6.7,4.2,
2008,103932,6.5,4.2,
2009,104296,5.7,4.1,
2010,104677,5.5,4.1,
2011,105074,7.1,4.1,
2012,105483,6.8,4.1,
1990,130482,67,50,
1991,133553,61,50,
1992,136696,56,50,
1993,139820,71,58,
1994,142806,115,76,
1995,145562,96,68,
1996,148060,80,61,
1997,150306,69,55,
1998,152275,60,49,
1999,153951,53,44,
2000,155328,49,40,
2001,156417,70,46,
2002,157241,51,37,
2003,157823,33,16,
2004,158194,51,36,
2005,158401,74,46,
2006,158429,44,32,
2007,158331,49,38,
2008,158310,104,65,
2009,158621,126,74,
2010,159440,118,73,
2011,160858,78,59,
2012,162810,66,48,
1990,8890329,142,74,
1991,9098613,142,74,
1992,9312915,142,73,
1993,9532550,141,72,
1994,9756398,140,72,
1995,9983861,139,71,
1996,10214623,137,70,
1997,10449636,134,70,
1998,10691090,132,69,
1999,10941913,130,68,
2000,11204183,129,68,
2001,11478984,127,67,
2002,11765738,125,67,
2003,12062835,122,66,
2004,12367800,122,65,
2005,12678919,119,65,
2006,12995374,117,64,
2007,13317931,116,63,
2008,13648307,116,63,
2009,13988988,115,62,
2010,14341576,112,62,
2011,14706578,111,61,
2012,15082831,110,60,
1990,6020113,556,248,
1991,6351760,550,249,
1992,6734242,543,251,
1993,7136110,531,251,
1994,7514053,520,251,
1995,7837173,505,249,
1996,8094751,489,246,
1997,8296478,474,244,
1998,8457221,458,241,
1999,8600911,443,237,
2000,8746128,429,234,
2001,8895353,362,206,
2002,9045748,396,225,
2003,9204581,379,220,
2004,9379621,366,216,
2005,9576331,350,211,
2006,9798963,336,205,
2007,10046967,327,200,
2008,10314678,314,196,
2009,10593248,296,187,
2010,10876033,299,188,
2011,11161530,287,183,
2012,11451273,274,178,
1990,1017385,237,158,
1991,1040717,238,161,
1992,1064691,240,164,
1993,1089235,243,167,
1994,1114249,250,170,
1995,1139667,256,174,
1996,1165465,265,177,
1997,1191672,275,181,
1998,1218336,283,184,
1999,1245530,288,188,
2000,1273312,290,192,
2001,1301748,290,195,
2002,1330849,283,199,
2003,1360559,275,203,
2004,1390791,268,207,
2005,1421515,264,211,
2006,1452659,263,216,
2007,1484337,268,220,
2008,1516920,277,224,
2009,1550905,293,229,
2010,1586624,300,233,
2011,1624228,306,238,
2012,1663558,312,242,
1990,725043,193,89,
1991,723259,186,89,
1992,723008,179,89,
1993,724014,171,89,
1994,725839,162,89,
1995,728136,153,89,
1996,730865,144,89,
1997,734059,134,89,
1998,737526,136,95,
1999,741046,138,100,
2000,744471,139,104,
2001,747657,140,108,
2002,750629,140,111,
2003,753612,139,114,
2004,756939,139,115,
2005,760834,139,115,
2006,765367,140,115,
2007,770407,139,114,
2008,775739,135,113,
2009,781055,133,112,
2010,786126,132,111,
2011,790882,131,110,
2012,795369,131,109,
1990,7110116,376,247,
1991,7255042,380,247,
1992,7399862,381,247,
1993,7544982,381,247,
1994,7691001,380,247,
1995,7838241,378,247,
1996,7986858,375,247,
1997,8136372,370,247,
1998,8285690,383,256,
1999,8433339,392,264,
2000,8578234,400,271,
2001,8720247,405,276,
2002,8859635,408,279,
2003,8996229,405,280,
2004,9129933,399,277,
2005,9260879,388,272,
2006,9388642,379,264,
2007,9513714,368,256,
2008,9638255,353,246,
2009,9765153,340,238,
2010,9896400,326,230,
2011,10032864,309,222,
2012,10173775,296,213,
1990,4903694,178,113,
1991,5041781,175,114,
1992,5180884,173,114,
1993,5319841,172,114,
1994,5457189,170,114,
1995,5591935,169,115,
1996,5723639,169,115,
1997,5852719,171,117,
1998,5980152,170,117,
1999,6107385,171,116,
2000,6235561,169,114,
2001,6365040,164,110,
2002,6495801,153,102,
2003,6628171,137,91,
2004,6762426,123,81,
2005,6898825,112,73,
2006,7037428,101,66,
2007,7178436,94,60,
2008,7322368,88,57,
2009,7469844,86,55,
2010,7621204,84,54,
2011,7776669,84,54,
2012,7935846,82,54,
1990,10385061,53,39,
1991,10370223,58,42,
1992,10364661,62,45,
1993,10363797,65,46,
1994,10361134,66,47,
1995,10351994,67,48,
1996,10334876,66,47,
1997,10311227,63,46,
1998,10282937,60,43,
1999,10253110,56,41,
2000,10224113,51,37,
2001,10196130,47,34,
2002,10168591,41,30,
2003,10142243,37,27,
2004,10117872,33,24,
2005,10095964,29,22,
2006,10077017,27,20,
2007,10060786,25,18,
2008,10046058,25,18,
2009,10031096,25,17,
2010,10014633,26,17,
2011,9996227,29,18,
2012,9976195,29,18,
1990,254830,12,8.1,
1991,257387,8.7,6.7,
1992,259895,10,7.1,
1993,262383,6.6,4.8,
1994,264893,13,7.8,
1995,267454,6.3,5.2,
1996,270089,5.7,4.7,
1997,272798,5.5,4.2,
1998,275568,12,7.1,
1999,278376,5,4.1,
2000,281214,8.1,5.3,
2001,284056,7.3,4.9,
2002,286929,4,3.2,
2003,289925,3.6,2,
2004,293170,6.6,4.3,
2005,296745,5.3,3.9,
2006,300693,7.8,5,
2007,304957,6.4,4.5,
2008,309394,3.8,2.2,
2009,313804,6,4.4,
2010,318042,14,8,
2011,322052,4.1,2.9,
2012,325867,4.3,3.5,
1990,868890700,465,216,
1991,886348712,466,216,
1992,903749636,467,216,
1993,921107534,467,216,
1994,938452550,467,216,
1995,955804355,465,216,
1996,973147577,463,216,
1997,990460131,459,216,
1998,1007746556,454,216,
1999,1025014711,447,216,
2000,1042261758,438,216,
2001,1059500888,427,216,
2002,1076705723,414,215,
2003,1093786762,399,214,
2004,1110626108,383,212,
2005,1127143548,365,209,
2006,1143289350,347,205,
2007,1159095250,328,201,
2008,1174662334,308,196,
2009,1190138069,289,190,
2010,1205624648,269,185,
2011,1221156319,249,181,
2012,1236686732,230,176,
1990,178633239,442,206,
1991,181786329,456,205,
1992,184916848,468,205,
1993,188019278,476,205,
1994,191085673,481,205,
1995,194112556,483,205,
1996,197097887,487,204,
1997,200050444,485,204,
1998,202990922,503,204,
1999,205946831,491,204,
2000,208938698,474,204,
2001,211970371,458,204,
2002,215038285,437,204,
2003,218145617,413,202,
2004,221293797,388,201,
2005,224480901,369,199,
2006,227709821,353,197,
2007,230972808,336,195,
2008,234243489,324,193,
2009,237486894,315,191,
2010,240676485,306,189,
2011,243801639,301,187,
2012,246864191,297,185,
1990,56361868,51,31,
1991,57472293,55,34,
1992,58307457,58,35,
1993,58982430,59,36,
1994,59663107,59,36,
1995,60468352,58,35,
1996,61440887,55,34,
1997,62542531,50,31,
1998,63713397,46,29,
1999,64858754,44,27,
2000,65911052,41,26,
2001,66857624,39,24,
2002,67727274,38,23,
2003,68543171,36,22,
2004,69342126,34,21,
2005,70152384,32,20,
2006,70976584,31,20,
2007,71809219,31,19,
2008,72660887,31,19,
2009,73542954,31,19,
2010,74462314,32,20,
2011,75424285,34,21,
2012,76424443,33,21,
1990,17517521,94,54,
1991,18009865,93,53,
1992,18547047,91,53,
1993,19123947,87,53,
1994,19731733,83,53,
1995,20363138,79,53,
1996,21017108,73,52,
1997,21693597,66,52,
1998,22387179,59,51,
1999,23091408,58,51,
2000,23801156,61,50,
2001,24516842,63,50,
2002,25238267,66,49,
2003,25959531,67,49,
2004,26673536,68,48,
2005,27377045,70,48,
2006,28064095,72,48,
2007,28740630,72,47,
2008,29429829,73,46,
2009,30163199,79,46,
2010,30962380,78,45,
2011,31837015,73,45,
2012,32778030,73,45,
1990,3531185,27,20,
1991,3537591,29,21,
1992,3549266,28,20,
1993,3565915,29,19,
1994,3586646,25,17,
1995,3610918,19,15,
1996,3638411,18,14,
1997,3669799,17,13,
1998,3706616,18,13,
1999,3750879,21,14,
2000,3803741,16,12,
2001,3865839,16,12,
2002,3935875,14,11,
2003,4010652,16,12,
2004,4085790,16,11,
2005,4158002,16,12,
2006,4226104,17,12,
2007,4290537,16,12,
2008,4351657,16,11,
2009,4410422,19,12,
2010,4467561,14,10,
2011,4522844,14,10,
2012,4575890,11,8.6,
1990,4499161,8.6,6,
1991,4641600,22,13,
1992,4806983,11,8.3,
1993,4985652,14,9.7,
1994,5163901,11,8.8,
1995,5331622,10,8.6,
1996,5486219,9.8,7.7,
1997,5630066,10,8.6,
1998,5764197,21,13,
1999,5891263,14,10,
2000,6013711,14,10,
2001,6129590,13,9.6,
2002,6238958,11,8.6,
2003,6348782,12,8.5,
2004,6468354,12,8.1,
2005,6603677,8.1,6.5,
2006,6758761,7,5.8,
2007,6930068,9.4,6.6,
2008,7106828,6.2,5.2,
2009,7273804,6.9,5.5,
2010,7420368,6.1,5.3,
2011,7542327,8.3,6.3,
2012,7643905,11,7.6,
1990,56831853,12,8.6,
1991,56855481,9.1,7.5,
1992,56894444,13,9.5,
1993,56936675,13,9.6,
1994,56964257,18,12,
1995,56967071,17,11,
1996,56937309,10,8.4,
1997,56887127,12,9.3,
1998,56850303,18,12,
1999,56872736,12,9,
2000,56986085,9,7.1,
2001,57200233,12,8.6,
2002,57501450,10,7.8,
2003,57868021,13,8.7,
2004,58267068,11,7.8,
2005,58671855,10,7.5,
2006,59078271,12,8.1,
2007,59485505,7.3,5.3,
2008,59873820,12,7.9,
2009,60220314,11,7.4,
2010,60508978,7.5,6,
2011,60729316,8.8,6.5,
2012,60884593,9.4,6.7,
1990,2365211,9.5,6.5,
1991,2380807,9.5,6.5,
1992,2398663,9.4,6.5,
1993,2418542,9.2,6.5,
1994,2439839,9.1,6.5,
1995,2462051,8.9,6.5,
1996,2485230,8.7,6.5,
1997,2509439,8.5,6.5,
1998,2534127,8.3,6.5,
1999,2558579,8.2,6.5,
2000,2582219,8.1,6.5,
2001,2604946,8.1,6.5,
2002,2626716,8.3,6.5,
2003,2647116,8.4,6.5,
2004,2665680,8.6,6.5,
2005,2682149,8.7,6.5,
2006,2696227,8.9,6.5,
2007,2708152,9,6.5,
2008,2718862,9.1,6.6,
2009,2729660,9.2,6.6,
2010,2741485,9.4,6.6,
2011,2754669,9.4,6.6,
2012,2768941,9.5,6.6,
1990,122249285,68,49,
1991,122702527,66,47,
1992,123180357,63,46,
1993,123658854,63,45,
1994,124101546,55,41,
1995,124483305,53,40,
1996,124794906,52,39,
1997,125048712,53,39,
1998,125266855,59,40,
1999,125481436,53,37,
2000,125714674,51,36,
2001,125973930,44,32,
2002,126249090,40,30,
2003,126523597,40,29,
2004,126772899,38,27,
2005,126978754,34,25,
2006,127136020,31,23,
2007,127248855,31,22,
2008,127319434,30,22,
2009,127352872,30,21,
2010,127352833,29,20,
2011,127319206,28,20,
2012,127249704,26,19,
1990,3358453,18,14,
1991,3538411,18,14,
1992,3743129,17,14,
1993,3955939,16,13,
1994,4153717,16,12,
1995,4320158,15,12,
1996,4450852,14,11,
1997,4551911,13,10,
1998,4630762,12,9.6,
1999,4699278,11,8.8,
2000,4767476,10,8.1,
2001,4835108,9.8,7.7,
2002,4902974,9.5,7.5,
2003,4983508,9.1,7.3,
2004,5092185,8.9,7.2,
2005,5239417,9,7.2,
2006,5428896,8.8,7.1,
2007,5655856,8.7,6.9,
2008,5911202,9.3,6.8,
2009,6181307,9.1,6.5,
2010,6454554,8.8,6.3,
2011,6731151,8.5,6,
2012,7009444,8.5,5.8,
1990,16171900,116,79,
1991,16154660,233,124,
1992,16070184,359,173,
1993,15929712,485,224,
1994,15750801,603,274,
1995,15549632,706,318,
1996,15326132,786,357,
1997,15085965,844,387,
1998,14858241,859,403,
1999,14679568,780,383,
2000,14575644,668,351,
2001,14559255,576,325,
2002,14623188,478,290,
2003,14747754,404,263,
2004,14902452,366,247,
2005,15064088,340,235,
2006,15227211,301,217,
2007,15396045,308,215,
2008,15568294,241,184,
2009,15743552,286,196,
2010,15921127,266,182,
2011,16097998,312,193,
2012,16271201,189,137,
1990,23446439,272,139,
1991,24237056,246,139,
1992,25036941,225,142,
1993,25839132,209,148,
1994,26634659,200,157,
1995,27418077,196,169,
1996,28186224,198,184,
1997,28943647,205,203,
1998,29702246,225,230,
1999,30478597,250,259,
2000,31285050,273,286,
2001,32126351,301,314,
2002,33000524,322,336,
2003,33905011,333,349,
2004,34834606,339,357,
2005,35785718,345,359,
2006,36757498,347,355,
2007,37752304,344,347,
2008,38773277,330,332,
2009,39824734,312,312,
2010,40909194,306,298,
2011,42027891,305,288,
2012,43178141,299,272,
1990,71040,249,116,
1991,72343,197,146,
1992,73434,219,189,
1993,74395,302,268,
1994,75346,533,389,
1995,76378,770,505,
1996,77511,940,587,
1997,78725,965,605,
1998,80018,785,534,
1999,81377,597,443,
2000,82788,487,372,
2001,84261,428,332,
2002,85799,446,342,
2003,87371,545,393,
2004,88936,661,448,
2005,90468,747,488,
2006,91953,805,514,
2007,93401,632,447,
2008,94832,618,442,
2009,96272,455,361,
2010,97743,477,366,
2011,99250,664,432,
2012,100786,628,429,
1990,2059774,23,15,
1991,1999651,29,19,
1992,1889536,21,17,
1993,1758579,20,14,
1994,1647698,23,17,
1995,1586123,29,24,
1996,1585244,38,29,
1997,1635999,55,37,
1998,1722208,54,38,
1999,1818405,41,33,
2000,1906231,41,31,
2001,1980604,36,29,
2002,2048232,48,33,
2003,2116353,44,31,
2004,2196466,40,29,
2005,2296314,31,26,
2006,2417445,42,31,
2007,2554920,37,29,
2008,2702221,58,37,
2009,2850102,60,38,
2010,2991580,58,37,
2011,3124705,31,25,
2012,3250496,33,26,
1990,4394502,170,92,
1991,4441582,200,105,
1992,4476402,231,119,
1993,4506563,263,135,
1994,4542747,296,151,
1995,4592135,326,168,
1996,4658815,360,186,
1997,4739263,394,205,
1998,4823870,419,221,
1999,4898865,439,237,
2000,4954850,449,249,
2001,4988162,439,250,
2002,5003394,422,246,
2003,5009453,405,238,
2004,5019310,373,226,
2005,5042381,334,208,
2006,5081620,303,192,
2007,5134297,276,178,
2008,5197274,248,164,
2009,5265218,222,151,
2010,5334223,204,141,
2011,5403419,211,141,
2012,5474213,217,141,
1990,4244520,1491,492,
1991,4369940,1437,473,
1992,4497827,1385,455,
1993,4625861,1326,437,
1994,4751142,1275,420,
1995,4871472,1224,403,
1996,4986592,1170,387,
1997,5096724,1115,372,
1998,5200898,1063,358,
1999,5298146,1011,344,
2000,5388281,961,330,
2001,5470169,912,317,
2002,5545245,862,305,
2003,5619069,824,293,
2004,5699112,780,281,
2005,5790646,737,270,
2006,5895930,701,260,
2007,6013278,663,250,
2008,6139127,627,240,
2009,6267968,596,230,
2010,6395713,565,221,
2011,6521314,540,213,
2012,6645827,514,204,
1990,2663985,114,57,
1991,2645056,142,73,
1992,2611306,170,88,
1993,2568603,196,102,
1994,2525444,220,115,
1995,2487988,237,126,
1996,2458305,246,133,
1997,2434628,246,137,
1998,2414650,238,137,
1999,2394521,217,130,
2000,2371481,194,121,
2001,2345309,174,113,
2002,2317261,153,103,
2003,2287780,134,93,
2004,2257647,118,84,
2005,2227559,102,75,
2006,2197359,88,67,
2007,2167157,87,65,
2008,2138258,70,56,
2009,2112337,63,52,
2010,2090519,63,50,
2011,2073385,60,48,
2012,2060428,76,53,
1990,2703019,45,35,
1991,2752473,43,34,
1992,2821868,42,33,
1993,2900862,40,32,
1994,2974647,37,31,
1995,3033406,35,29,
1996,3070984,32,27,
1997,3092718,29,25,
1998,3114014,27,22,
1999,3156706,24,20,
2000,3235380,20,17,
2001,3357600,18,15,
2002,3515604,16,13,
2003,3690110,15,12,
2004,3853582,15,12,
2005,3986865,15,11,
2006,4079823,15,11,
2007,4139813,16,12,
2008,4186088,17,12,
2009,4246924,18,13,
2010,4341092,19,14,
2011,4478105,20,15,
2012,4647079,20,16,
1990,1597534,267,184,
1991,1627900,269,201,
1992,1660360,267,218,
1993,1693459,279,244,
1994,1725118,301,280,
1995,1753824,323,323,
1996,1779197,326,362,
1997,1801679,336,409,
1998,1821609,354,461,
1999,1839611,378,519,
2000,1856225,387,553,
2001,1871500,394,576,
2002,1885487,412,613,
2003,1898757,420,635,
2004,1912022,418,643,
2005,1925844,409,639,
2006,1940413,407,638,
2007,1955784,415,637,
2008,1972199,433,635,
2009,1989873,432,634,
2010,2008921,425,633,
2011,2029516,439,632,
2012,2051545,424,630,
1990,2102877,321,199,
1991,2066060,356,203,
1992,2028672,387,207,
1993,2006349,412,211,
1994,2019148,434,215,
1995,2079921,453,219,
1996,2197801,466,223,
1997,2365290,477,228,
1998,2558085,483,232,
1999,2741755,483,237,
2000,2891968,482,242,
2001,2998770,478,246,
2002,3070673,477,251,
2003,3124222,474,256,
2004,3184643,474,261,
2005,3269786,475,266,
2006,3384791,479,272,
2007,3522294,484,277,
2008,3672714,487,283,
2009,3821440,490,288,
2010,3957990,493,293,
2011,4079697,494,299,
2012,4190435,495,304,
1990,4259811,86,40,
1991,4359515,79,40,
1992,4459214,73,40,
1993,4558021,68,40,
1994,4654483,64,40,
1995,4747619,61,40,
1996,4837354,59,40,
1997,4924347,59,40,
1998,5009240,58,40,
1999,5092939,58,40,
2000,5176185,57,40,
2001,5258677,56,40,
2002,5340389,55,40,
2003,5422612,53,40,
2004,5507000,52,40,
2005,5594450,51,40,
2006,5686475,50,40,
2007,5782108,51,40,
2008,5876805,53,40,
2009,5964325,55,40,
2010,6040612,58,40,
2011,6103233,61,40,
2012,6154623,66,40,
1990,3697393,69,44,
1991,3698824,85,55,
1992,3689365,100,65,
1993,3671803,113,74,
1994,3650348,126,82,
1995,3628079,136,89,
1996,3606012,146,95,
1997,3583272,155,101,
1998,3558827,161,105,
1999,3530932,160,105,
2000,3498446,157,103,
2001,3461616,152,100,
2002,3421430,142,95,
2003,3378410,134,91,
2004,3333259,131,89,
2005,3286782,127,87,
2006,3238819,123,84,
2007,3190088,118,81,
2008,3143310,113,79,
2009,3101973,108,76,
2010,3068457,103,73,
2011,3043980,97,69,
2012,3027621,93,66,
1990,381790,22,14,
1991,386358,22,14,
1992,391403,12,7.3,
1993,396811,13,10,
1994,402435,12,9.4,
1995,408152,11,9,
1996,414004,17,11,
1997,419979,14,10,
1998,425834,18,12,
1999,431268,13,9.9,
2000,436111,17,12,
2001,440137,11,8.1,
2002,443524,10,8,
2003,446996,24,14,
2004,451548,9.8,7.9,
2005,457847,13,9.3,
2006,466209,11,8.1,
2007,476294,14,9.4,
2008,487310,7.9,6.6,
2009,498116,7.5,6.2,
2010,507885,8.9,6.6,
2011,516348,7,5.6,
2012,523744,10,6.5,
1990,11545782,946,391,
1991,11898267,911,384,
1992,12263899,855,371,
1993,12643864,812,359,
1994,13039754,769,347,
1995,13452526,729,335,
1996,13882646,694,324,
1997,14329239,666,315,
1998,14790245,647,308,
1999,15262817,628,300,
2000,15744811,609,293,
2001,16235767,593,286,
2002,16736029,580,282,
2003,17245275,555,274,
2004,17763367,537,268,
2005,18290394,522,262,
2006,18826126,502,256,
2007,19371023,492,252,
2008,19926785,477,247,
2009,20495695,472,245,
2010,21079532,461,242,
2011,21678934,452,238,
2012,22293914,442,234,
1990,9447123,412,326,
1991,9657518,423,361,
1992,9759434,426,392,
1993,9800635,428,419,
1994,9851737,427,442,
1995,9964065,427,462,
1996,10153315,421,479,
1997,10404259,414,488,
1998,10700180,400,488,
1999,11012707,383,481,
2000,11321496,365,467,
2001,11623166,342,445,
2002,11926778,321,422,
2003,12238739,299,401,
2004,12569091,279,378,
2005,12924746,262,354,
2006,13307535,255,328,
2007,13713758,243,301,
2008,14138207,225,273,
2009,14573338,204,243,
2010,15013694,182,219,
2011,15457531,156,191,
2012,15906483,140,163,
1990,18211097,242,127,
1991,18709963,232,123,
1992,19205112,220,119,
1993,19701410,210,115,
1994,20206546,199,111,
1995,20725374,189,108,
1996,21259831,180,105,
1997,21805835,170,102,
1998,22355057,162,99,
1999,22896048,154,97,
2000,23420751,148,95,
2001,23925742,143,92,
2002,24413795,139,91,
2003,24890654,136,89,
2004,25365089,133,87,
2005,25843466,129,86,
2006,26327098,126,85,
2007,26813819,123,84,
2008,27302348,120,83,
2009,27790324,116,83,
2010,28275835,112,82,
2011,28758968,107,81,
2012,29239927,101,80,
1990,215859,311,150,
1991,221963,274,140,
1992,227863,239,130,
1993,233611,211,121,
1994,239291,230,130,
1995,244965,197,118,
1996,250659,167,106,
1997,256347,117,84,
1998,261973,122,84,
1999,267456,99,72,
2000,272745,81,60,
2001,277825,95,63,
2002,282743,80,55,
2003,287594,94,60,
2004,292505,74,51,
2005,297576,78,51,
2006,302825,53,41,
2007,308239,84,52,
2008,313843,76,48,
2009,319660,56,39,
2010,325694,51,36,
2011,331964,43,33,
2012,338442,65,41,
1990,7964066,138,76,
1991,8130473,136,77,
1992,8322743,135,78,
1993,8535338,134,79,
1994,8759442,132,80,
1995,8988853,131,80,
1996,9222157,128,80,
1997,9462256,125,80,
1998,9712365,121,79,
1999,9977308,119,78,
2000,10260577,117,77,
2001,10562768,115,76,
2002,10882662,112,74,
2003,11219737,110,72,
2004,11572936,108,71,
2005,11941258,105,69,
2006,12325545,101,68,
2007,12725629,100,67,
2008,13138299,97,65,
2009,13559296,95,64,
2010,13985961,94,63,
2011,14416737,94,62,
2012,14853572,92,60,
1990,375295,6.8,4,
1991,379551,12,7.9,
1992,383872,15,9,
1993,388114,12,7.7,
1994,392075,11,7.3,
1995,395615,6.1,3.2,
1996,398698,14,8.1,
1997,401373,5.3,3.2,
1998,403688,5.8,4.6,
1999,405716,10,6.2,
2000,407529,6.2,4.5,
2001,409116,6.2,4.5,
2002,410493,11,6.7,
2003,411790,5,2,
2004,413170,5.9,5,
2005,414747,7.5,6.1,
2006,416584,12,8.3,
2007,418640,16,10,
2008,420796,22,13,
2009,422872,17,11,
2010,424738,10,7.9,
2011,426356,10,8.1,
2012,427764,16,11,
1990,47300,251,137,
1991,48481,257,147,
1992,49382,267,156,
1993,50052,284,167,
1994,50577,305,178,
1995,51020,332,190,
1996,51397,364,203,
1997,51697,409,216,
1998,51922,451,231,
1999,52076,491,246,
2000,52161,532,263,
2001,52184,568,280,
2002,52161,579,299,
2003,52115,581,319,
2004,52074,593,340,
2005,52058,651,363,
2006,52084,674,388,
2007,52150,710,413,
2008,52245,765,441,
2009,52341,811,471,
2010,52428,903,502,
2011,52495,973,536,
2012,52555,1079,572,
1990,2024163,283,228,
1991,2081380,311,232,
1992,2140957,341,237,
1993,2202966,366,241,
1994,2267433,392,246,
1995,2334388,417,251,
1996,2403805,444,256,
1997,2475726,463,261,
1998,2550307,489,266,
1999,2627739,511,272,
2000,2708095,536,277,
2001,2791403,559,282,
2002,2877431,583,288,
2003,2965667,605,294,
2004,3055425,628,300,
2005,3146164,651,305,
2006,3237713,673,312,
2007,3330037,693,318,
2008,3422901,713,324,
2009,3516077,736,330,
2010,3609420,756,337,
2011,3702763,775,344,
2012,3796141,794,350,
1990,1055865,55,28,
1991,1068409,54,27,
1992,1082877,53,27,
1993,1098471,52,27,
1994,1114033,51,26,
1995,1128676,51,26,
1996,1142191,50,26,
1997,1154701,49,25,
1998,1166070,48,25,
1999,1176227,47,25,
2000,1185143,46,24,
2001,1192719,45,24,
2002,1198972,44,24,
2003,1204161,44,24,
2004,1208653,43,23,
2005,1212752,43,23,
2006,1216518,43,23,
2007,1219976,42,22,
2008,1223336,42,22,
2009,1226841,41,22,
2010,1230659,41,22,
2011,1234910,40,21,
2012,1239557,39,21,
1990,86077004,145,67,
1991,87890094,133,62,
1992,89757916,121,58,
1993,91653826,110,54,
1994,93541577,99,50,
1995,95392647,89,46,
1996,97201533,79,42,
1997,98968558,70,39,
1998,100678867,63,36,
1999,102316781,56,33,
2000,103873607,51,31,
2001,105339877,46,28,
2002,106723661,42,26,
2003,108056312,39,25,
2004,109381550,36,23,
2005,110731826,34,22,
2006,112116694,33,22,
2007,113529819,33,22,
2008,114968039,33,22,
2009,116422752,33,22,
2010,117886404,34,22,
2011,119361233,34,23,
2012,120847477,33,23,
1990,96331,464,379,
1991,98800,515,367,
1992,101412,561,356,
1993,103937,594,346,
1994,106057,616,335,
1995,107556,629,325,
1996,108342,627,315,
1997,108506,610,306,
1998,108236,595,297,
1999,107808,577,288,
2000,107430,560,279,
